added,product,batch,purity_pct,mass,result_date,report_url
2026-01-05,Retatrutide 10mg,RET16,99.3,10.46 mg,2026-01-02,https://janoshik.com/tests/96828-Retatrutide_ZKUJ8US6IQD5
2026-01-05,Healing Blend 6mg / 6mg,BPCTB06,,7.13 mg,2025-12-11,https://janoshik.com/tests/93146-bt5_Healing_Blend_CFMGQXSNZ1GS
2026-01-02,SS-31 50mg,SS02,99.78,50.27 mg,2026-01-02,https://janoshik.com/tests/96028-SS31_QMHKS712Y82P
2026-01-01,Tadalafil 20mg,TAD01,,18.81 mg,2025-12-09,https://janoshik.com/tests/92440-T20_Tadalafil_CBR8P154LYNL
2026-01-01,Sildenafil 50mg,SIL01,,48.92 mg,2025-12-10,https://janoshik.com/tests/92439-S50_Sildenafil_I75QS7D85BRJ
2026-01-01,Orforglipron 6mg,OR01,,6.88 mg,2025-12-10,https://janoshik.com/tests/92441-OR_Orforglipron_LFNDACETWL5S
2025-12-30,GLOW Blend,GLOW05,,66.19 mg,2025-12-02,https://janoshik.com/tests/91581-GLOW_Blend_Z8FPJSZPZI14
2025-12-30,NAD+ 500mg,NAD02,,522.45 mg,2025-12-08,https://janoshik.com/tests/91587-NAD_SLRB4M8VP9IG
2025-12-24,5-Amino-1MQ 12.5mg,5AM01,,12.72 mg,2025-11-26,https://janoshik.com/tests/90605-5Amino1MQ_MTI42QU9CXZK
2025-12-22,Retatrutide 20mg,RET14,99.18,22.09 mg,2025-11-13,https://janoshik.com/tests/87874-Retatrutide_ETUAGIDRSLUC
2025-12-21,TB-500 10mg,TB06,99.15,11.57 mg,2025-12-18,https://janoshik.com/tests/94417-TB500_X6AF33KU5IUX
2025-12-18,Tesamorelin 10mg,TES04,99.54,11.78 mg,2025-12-18,https://janoshik.com/tests/94027-Tesamorelin_HSMPUV8N74EF
2025-12-16,CJC-1295 with DAC 12.5mg,DAC01,99.07,13.05 mg,2025-11-19,https://janoshik.com/tests/89219-CJC1295_with_DAC_15FTGD28H6PV
2025-12-16,LL-37 10mg,LL01,99.62,11.37 mg,2025-11-19,https://janoshik.com/tests/89218-LL37_4KG9NT5CZ91J
2025-12-16,DSIP 12.5mg,DSP01,99.03,12.71 mg,2025-11-20,https://janoshik.com/tests/89412-DSIP_WIGURMXTN6I2
2025-12-16,Kisspeptin 12.5mg,KIS01,99.54,12.69 mg,2025-11-20,https://janoshik.com/tests/89411-Kisspeptin_K4NVUGIU1L34
2025-12-15,Ipamorelin 10mg,IPA03,99.82,11.72 mg,2025-12-11,https://janoshik.com/tests/93162-Ipamorelin_YTPKZP3NT9S9
2025-12-11,Semax 10mg,SEM02,99.61,11.7 mg,2025-12-11,https://janoshik.com/tests/92927-Semax_DKUPNXRHX46Q
2025-12-11,BPC-157 5mg,BPC08,99.83,6.01 mg,2025-12-10,https://janoshik.com/tests/91580-BPC157_TUHDLB5TS8ZN
2025-12-09,Human Chorionic Gonadotropin (hCG) 14000iu,HCG05,,14590 ius,2025-12-09,https://janoshik.com/tests/92442-H10_hCG_T9XKW9IY9EUH
2025-12-09,Human Chorionic Gonadotropin (hCG) 7000iu,HCG06,,8014 ius,2025-12-09,https://janoshik.com/tests/92443-H5_hCG_GYXG1EZBBDYH
2025-12-06,NAD+ 600mg,NAD01,,595 mg,2025-09-29,https://janoshik.com/tests/80131-NAD_HQ5RLIIW5AK1
2025-12-05,MOTS-C 10mg,MOTS05,99.58,11.94 mg,2025-12-05,https://janoshik.com/tests/91579-MOTSC_ISQ6QTXBH4XI
2025-12-05,Tirzepatide 30mg,TZ04,99.88,32.81 mg,2025-11-27,https://janoshik.com/tests/90604-Tirzepatide_S7Y1D4AWB273
2025-12-03,KPV 10mg,KPV02,99.76,9.7 mg,2025-11-05,https://janoshik.com/tests/86385-KPV_NDJHTG21ARAV
2025-12-03,GHK-Cu 70mg,GHK04,99.52,72.33 mg,2025-11-05,https://janoshik.com/tests/86382-GHKCu_GMLCIY37P97S
2025-12-03,IGF-1 LR3 1mg,IGF03,98.39,1.20 mg,2025-11-27,https://janoshik.com/tests/90606-IGF1_LR3_445TK79U8QXT
2025-12-03,SLU-PP-332 20mg Tablets,SLU02,,22.21 mg,2025-11-18,https://janoshik.com/tests/88497-SLUPP332_8TX4JYMGGNVQ
2025-12-03,Tadalafil 5mg Tablets,TAD02,,4.97 mg,2025-11-14,https://janoshik.com/tests/88496-Tadalafil_CNUHRKI25BZN
2025-12-03,Sermorelin 10mg,SER02,99.65,10.53 mg,2025-09-25,https://janoshik.com/tests/80129-Sermorelin_ZF8QH4JW36XS
2025-11-16,L-Carnitine 750mg/mL,LCAR01,,740.14 mg,2025-08-11,https://janoshik.com/tests/74195-LCarnitine_YCRUTRIAVJL1
2025-11-15,Retatrutide 60mg,RET15,99.86,61.24 mg,2025-10-21,https://janoshik.com/tests/84358-Retatrutide_48E4KD8WTH76
2025-11-12,Retatrutide 20mg,RET13,99.73,22.35 mg,2025-11-11,https://janoshik.com/tests/86689-Retatrutide_67J5V7B6898C
2025-11-12,KLOW Blend 80mg,KLO02,,90.38 mg,2025-11-05,https://janoshik.com/tests/86384-KLOW_Blend_78B1VAW9LUT4
2025-11-10,HGH (450iu kit),GGC29,95.88,44.9 ius,2025-11-04,https://janoshik.com/tests/86198-Human_Growth_Hormone_BJ8KP17PA7SA
2025-11-06,Retatrutide 10mg,RET11,99.52,11.79 mg,2025-09-22,https://janoshik.com/tests/79796-Retatrutide_1AXMFWMQETW2
2025-10-27,BPC-157 / TB-500 “Healing Blend”,BPCTB05,,10.97 mg,2025-09-22,https://janoshik.com/tests/79785-BP5TB5_LMVYFRBJ9TEB
2025-10-12,Epitalon 10mgq,EPI03,99.44,12.59 mg,2025-09-22,https://janoshik.com/tests/79789-Epitalon_HGDSATZ3PURY
2025-10-09,Retatrutide 20mg,RET12,99.43,22.19 mg,2025-10-09,https://janoshik.com/tests/81966-Retatrutide_VEITWYLFZA6F
2025-10-07,BPC-157 10mg,BPC06,99.3,12.93 mg,2025-09-22,https://janoshik.com/tests/79783-BPC157_LWGW44RWVSMR
2025-10-07,PT-141 10mg,PT02,99.87,11.98 mg,2025-09-22,https://janoshik.com/tests/79788-PT141_XJBHZMJK5ATG
2025-09-28,TB-500 10mg,TB05,99.53,12.13 mg,2025-09-26,https://verify.janoshik.com/tests/80133-TB500_JDH9G6WYRB72
2025-09-27,BPC-157 5mg,BPC07,99.47,5.86 mg,2025-09-22,https://janoshik.com/tests/79786-BPC157_199QQCG4H3Y4
2025-09-26,Ipamorelin 10mg,IPA02,99.89,10.06 mg,2025-09-25,https://janoshik.com/tests/80135-Ipamorelin_YNWBB1NAT2W8
2025-09-26,HGH (400iu kit),GGC28,96.56,43.77 mg,2025-09-25,https://janoshik.com/tests/80137-Human_Growth_Hormone_7W7C3KKY5EWB
2025-09-25,Tesamorelin 10mg,TES03,99.32,10.29 mg,2025-07-04,https://janoshik.com/tests/70033-Tesamorelin_JQDJ6M3ZSSX7
2025-09-25,MOTS-C 10mg,MOTS04,99.457,11.23 mg,2025-09-25,https://janoshik.com/tests/80130-MOTSC_A2HRLWTWDMPZ
2025-09-11,IGF-1 LR3 1mg,IGF02,99.51,1.11 mg,2025-09-11,https://janoshik.com/tests/78095-IGF1_LR3_WELEMMA2S6FV
2025-09-09,Retatrutide 20mg,RET10,99.72,23.85 mg,2025-09-09,https://janoshik.com/tests/77672-Retatrutide_GZEN4QSYHW64
2025-09-08,GLOW Blend,GLOW04,,66.63 mg,2025-09-01,https://janoshik.com/tests/76922-GLOW_Blend_E1CPQYGRYJ2K
2025-09-04,CJC-1295 No DAC + Ipamorelin 10mg,CJCIPA03,,11.17 mg,2025-08-29,https://janoshik.com/tests/76562-CJC1295_no_DAC_Ipamorelin_Blend_PUQ715J2MRLV
2025-09-04,SLU-PP-332 200MCG,,,214.31 mg,2025-08-27,https://janoshik.com/tests/76237-SLUPP332_NDBGUKV21WAF
2025-08-30,Selank 10mg,SEL01,99.92,10.38 mg,2025-08-29,https://janoshik.com/tests/76563-Selank_BT83I7XGXS9V
2025-08-28,Tesamorelin 10mg,TES03,99.11,10.72 mg,2025-08-28,https://janoshik.com/tests/76559-Tesamorelin_X3UPYIPZMMYI
2025-08-26,CJC-1295 no DAC 5mg,CJC01,99.41,5.22 mg,2025-02-28,https://janoshik.com/tests/58686-CJC1295_no_DAC_B262VWAJ697U
2025-08-26,Mazdutide 10mg,MAZ01,99.64,10.70 mg,2025-08-04,https://janoshik.com/tests/73421-Mazdutide_DTNN3VXD2JXH
2025-08-26,Thymosin Alpha-1 12.5mg,TA01,99.32,12.58 mg,2025-08-04,https://janoshik.com/tests/73420-ThymosinAlpha_1_ADS2CJVU3RN4
2025-08-26,KLOW Blend,KLO01,,92.01 mg,2025-08-04,https://janoshik.com/tests/73422-KLOW_DNBQBZASM655
2025-08-26,KPV 12.5mg,KPV01,99.87,13.14 mg,2025-07-16,https://janoshik.com/tests/71254-KPV_JYGQ7S7J61Z2
2025-08-12,MOTS-C 10mg,MOTS02,99.04,10.77 mg,2025-08-11,https://janoshik.com/tests/74196-MOTSC_IDG4RMXYIFBS
2025-08-11,GLOW Blend,GLOW03,,60.53 mg,2025-08-11,https://janoshik.com/tests/74194-GLOW_ZR9Q2C6PIKH1
